ID;NAMA;DUSUN;DESA;KECAMATAN;JENIS;STATUS;POTENSI;X;Y;SURVEYOR;REFERENSI
570;L. Bengkak;;Mendak;Saptosari;;;;;;ASC 1997;
571;L. Niti;;Mendak;Saptosari;;;;;;ASC 1997;
572;L. Sumuran;;Mendak;Saptosari;;;;;;ASC 1997;
573;L. Glagah;;Mendak;Saptosari;;;;;;ASC 1997;
574;L. Sumur;Gebang;Girisuko;Panggang;;;;;;EB-ACY-Sekber III - 2000;
575;L. Tlagan;Dempul;Girisuko;Panggang;;;;;;EB-ACY-Sekber III - 2000;
576;L. Tuk Bunder;;Girisuko;Panggang;;;;;;EB-ACY-Sekber III - 2000;
577;L. Song Sekar;Temu Ireng 2;Girisuko;Panggang;;;;;;EB-ACY-Sekber III - 2000;
578;L. Gunung Semut;Temu Ireng 2;Girisuko;Panggang;;;;;;EB-ACY-Sekber III - 2000;
579;L. Dempul;Dempul;Girisuko;Panggang;;;;;;EB-ACY-Sekber III - 2000;
580;L. Temugiring;Temu Ireng 2;Girisuko;Panggang;;;;;;EB-ACY-Sekber III - 2000;
581;L. Ngalur;Temu Ireng 2;Girisuko;Panggang;;;;;;EB-ACY-Sekber III - 2000;
582;Glontor;;;Jepitu;Vertikal;Belum di xplor;;469361;9097936;Pangea Cruiser Fak. Geologi UPN;
583;Mbelong;;;Jepitu;Vertikal;Belum di xplor;;469189;9098534;Pangea Cruiser Fak. Geologi UPN;
584;Pak Dondong;;;Jepitu;Vertikal;Belum di xplor;;469473;9097163;Pangea Cruiser Fak. Geologi UPN;
585;Gua Pasung;;;Jepitu;Horisontal;Sudah di xplor;;469568;9095680;Pangea Cruiser Fak. Geologi UPN;
586;Madaran;;;Jepitu;Vertikal;Sudah di xplor;;469568;9095680;Pangea Cruiser Fak. Geologi UPN;
587;Condong;;;Jepitu;Vertikal;Sudah di xplor;;468367;9097850;Pangea Cruiser Fak. Geologi UPN;
588;Puring;;;Jepitu;Horisontal;Sudah di xplor;;468043;9096680;Pangea Cruiser Fak. Geologi UPN;
